DatasetName                                 Total nbr events                                 Generator                                 fragment                                 gridpack location
GluGluToAToZHTo2L2B_MA-240p00_MH-130p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/AToZHTo2L2B_240p00_130p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToAToZHTo2L2B_MA-500p00_MH-250p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/AToZHTo2L2B_500p00_250p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToAToZHTo2L2B_MA-700p00_MH-200p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/AToZHTo2L2B_700p00_200p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToAToZHTo2L2B_MA-780p00_MH-680p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/AToZHTo2L2B_780p00_680p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToAToZHTo2L2B_MA-800p00_MH-140p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/AToZHTo2L2B_800p00_140p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-132p00_MA-30p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_132p00_30p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-132p00_MA-37p34_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_132p00_37p34_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-143p44_MA-30p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_143p44_30p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-143p44_MA-37p34_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_143p44_37p34_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-143p44_MA-46p48_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_143p44_46p48_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
